,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
559,302,297,1,1,1,7,7,1629
560,100,17,1,1,1,5,5,1655
561,164,242,0.923076923,1,0.96,12,13,1550
562,125,493,0.916666667,1,0.956521739,11,12,1640
563,246,301,1,1,1,13,13,1627
564,299,255,1,1,1,12,12,1589
565,17,299,0.888888889,1,0.941176471,8,9,1597
566,31,79,1,1,1,11,11,1603
567,645,235,0.6,1,0.75,3,5,1569
568,330,551,0.789473684,1,0.882352941,15,19,1682
569,640,506,0.857142857,1,0.923076923,12,14,1556
570,238,171,0.875,1,0.933333333,14,16,1558
571,294,4,0.909090909,1,0.952380952,10,11,1716
572,230,616,1,1,1,17,17,1588
573,405,382,0.8125,1,0.896551724,13,16,1705
574,183,527,0.933333333,1,0.965517241,14,15,1580
575,229,86,0.916666667,1,0.956521739,11,12,1698
576,83,468,0.8,1,0.888888889,8,10,1674
577,274,43,0.9,1,0.947368421,9,10,1536
578,600,579,0.888888889,1,0.941176471,8,9,1517
579,191,279,0.857142857,1,0.923076923,6,7,1552
